source_institution,parent_title,publication_date,year,month,url,document_type,category,region,relevance_score,keywords_detected,date_donnée,ville_commune,domaine,thème,intitulé_de_l'indicateur,source,donnée_indicateur,,mission_1,production_du_rapport_de_mise_en_œuvre,n°,bet,adresses,telephones,projet,taux_d’exécution,montant_ttc_+__moe,commentaires,date,city_town,domain,theme,indicator_title,data,villes,projets,cible_indicateurs,villes_projets,livrables,adamawa,"real_estate_agents:_
________________________________________total:_66___
________________________________________valid:_24___
________________________________________expired:_42","test
test",1-,"landlord_miju_sarl

professional_card:
expired

manager:
m._mbah_shupong_michael","aurora_building_materials_company_ltd_“abm”

activity_status:
________________________________
in_activity

manager:
m._tawah_che_crecy",descriptions_et_objectifs_principaux,budget_etendue,avancées_récentes,col_1,col_2,col_3,col_4,col_5,col_6,col_7,construction(*),maintenance,total,site___ville,localisation,superficie,situation,commune_bénéficiaire,métier_urbain,nombre_de_jeune_formé,année,"first_group_holding_company

professional_card:
expired

manager:
m._dima_gabriel","anucam_educational_boobs_plc

activity_status:
________________________________
in_activity

manager:
m.folefac_vincent_anu",structures,localisations,portes,délégations,types_de_logements,t4,t5,ville,type_de_logement,surface_utile_du_logement,coût_de_vente_de_logements_(en_m²),coût_total_de_vente_d’un_logement,"africa_kom’s_&_industry_co.ltd

professional_card:
expired

manager:
m._kommegne_félicien","achaff_sa

activity_status:
________________________________
in_activity

manager:
mme_ndecham_chefon_née_happi_gisèle_flore","abomo_essomba

professional_card:
expired

manager:
m._abomo_essomba","adibime_onana

professional_card:
expired

manager:
m._adibime_onana","africa_power_corporation_“apc”_sa

activity_status:
________________________________
in_activity

manager:
m._assako_ella_emmanuel_delphin","cabinet_2npg_immo_sarl

professional_card:
expired

manager:
m._nguetsop_ndogmo_pascalin_gaston",area,department,indicator,value,historical,n°_d'ordre,région,département,indicateur,valeur,historique,adamaoua,"agents_immobiliers:_
________________________________________total:_66___
________________________________________valide:_24___
________________________________________expiré:_42",formualire_de_connexion,utilisateur:,"agence_pour_la_promotion_fonciere_et_immobiliere_du_cameroun

activity_status:
________________________________
in_activity

manager:
m.aliou_moussa","etablissement_le_matinal

professional_card:
expired

manager:
midja_essogo","etablissement_walid

activity_status:
________________________________
in_activity

manager:
m._ibrahim_bouba","immobilier_régional_du_grand_nord_sarl_«imeno_sarl»

professional_card:
valid

activity_status:
____________________________________
in_activity

manager:
m._alhadji_halidou_bello","société_civile_immobilière_teddy

activity_status:
________________________________
in_activity

manager:
m.amadou_logone","ets_nguekap

professional_card:
expired

manager:
m._nguekap_emmanuel","«les_constructions,_distributions_et_immobilières»_cdim_sarl

activity_status:
________________________________
in_activity

manager:
mme_tanegong_yatabong_cabrelle","avenir_bâtiments_et_travaux_publics_«avenir_btp»_sarl

activity_status:
________________________________
in_activity

manager:
m._ahounang_aboudem_nestor",assainissement,00
Ministry of Housing and Urban Development,Habitat - MINHDU,,,,https://www.minhdu.gov.cm/projets/habitat,html_with_tables,land,Centre,2.68,"aménagement, chantier, construction, coût, développement, eau, financement, immeuble, permis, plan, projet, terrain, terre, titre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bafoussam,KOUEKONG,10 Hectares,Non Sécurisé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,Habitat - MINHDU,,,,https://www.minhdu.gov.cm/projets/habitat,html_with_tables,land,Centre,2.68,"aménagement, chantier, construction, coût, développement, eau, financement, immeuble, permis, plan, projet, terrain, terre, titre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bamenda,BANGSHIE Bamenda I,5 Hectares,Non Sécurisé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,Habitat - MINHDU,,,,https://www.minhdu.gov.cm/projets/habitat,html_with_tables,land,Centre,2.68,"aménagement, chantier, construction, coût, développement, eau, financement, immeuble, permis, plan, projet, terrain, terre, titre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Limbe,LIMBE,5 Hectares,Sécurisé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,Habitat - MINHDU,,,,https://www.minhdu.gov.cm/projets/habitat,html_with_tables,land,Centre,2.68,"aménagement, chantier, construction, coût, développement, eau, financement, immeuble, permis, plan, projet, terrain, terre, titre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sangmélima,MEYO,5 Hectares,Non Sécurisé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,Environnement Social Urbain - MINHDU,,,,https://www.minhdu.gov.cm/environnement-social-urbain,html_with_tables,land,Centre,2.66,"aménagement, chantier, construction, données, développement, logement, marché, population, projet, route, terre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yaoundé 2, 4, 5, 6",Câblodistribution des images satellitaires,100,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,Environnement Social Urbain - MINHDU,,,,https://www.minhdu.gov.cm/environnement-social-urbain,html_with_tables,land,Centre,2.66,"aménagement, chantier, construction, données, développement, logement, marché, population, projet, route, terre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yaoundé 3, Nanga-Eboko",Horticulture urbaine,100,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,Environnement Social Urbain - MINHDU,,,,https://www.minhdu.gov.cm/environnement-social-urbain,html_with_tables,land,Centre,2.66,"aménagement, chantier, construction, données, développement, logement, marché, population, projet, route, terre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dimako, Sangmélima, Eséka, Douala 5",Production et pose des pavés,200,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,Environnement Social Urbain - MINHDU,,,,https://www.minhdu.gov.cm/environnement-social-urbain,html_with_tables,land,Centre,2.66,"aménagement, chantier, construction, données, développement, logement, marché, population, projet, route, terre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yaoundé 1, Limbé 1,Maroua",Production et pose des pavés,200,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,Environnement Social Urbain - MINHDU,,,,https://www.minhdu.gov.cm/environnement-social-urbain,html_with_tables,land,Centre,2.66,"aménagement, chantier, construction, données, développement, logement, marché, population, projet, route, terre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yaoundé 7, Yaoundé 2, NangaEboko, Bertoua","Ferraillage, coffrage en bois, menuiserie bois, compostage des ordures ménagères",200,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,Environnement Social Urbain - MINHDU,,,,https://www.minhdu.gov.cm/environnement-social-urbain,html_with_tables,land,Centre,2.66,"aménagement, chantier, construction, données, développement, logement, marché, population, projet, route, terre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yaoundé 5, Messamena, Penka Michel","Carrelage, production des briques de terre comprimées et compostage des ordures ménagères",220,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,Environnement Social Urbain - MINHDU,,,,https://www.minhdu.gov.cm/environnement-social-urbain,html_with_tables,land,Centre,2.66,"aménagement, chantier, construction, données, développement, logement, marché, population, projet, route, terre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ngaoundéré, Bamenda 2, Bibey 2",Fabrication des pavés et de briques de terre comprimées,200,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,Environnement Social Urbain - MINHDU,,,,https://www.minhdu.gov.cm/environnement-social-urbain,html_with_tables,land,Centre,2.66,"aménagement, chantier, construction, données, développement, logement, marché, population, projet, route, terre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Bankim, Ebolowa 1, Foumbot","Soudure métallique, production des briques de terre comprimées et compostage des ordures ménagères",200,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,Environnement Social Urbain - MINHDU,,,,https://www.minhdu.gov.cm/environnement-social-urbain,html_with_tables,land,Centre,2.66,"aménagement, chantier, construction, données, développement, logement, marché, population, projet, route, terre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bamenda II, Foumban, Massangam, Makak, Makénéné, Ndobian, Meyomessala, Batchenga",Fabrication et pose des pavés et des briques de terre comprimées et au compostage des ordures ménagères.,800,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,Environnement Social Urbain - MINHDU,,,,https://www.minhdu.gov.cm/environnement-social-urbain,html_with_tables,land,Centre,2.66,"aménagement, chantier, construction, données, développement, logement, marché, population, projet, route, terre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tignere, Matom, Bazou, Nkongsamba 2ème , Bamenda 1er",Fabrication et pose des pavés,500,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,Environnement Social Urbain - MINHDU,,,,https://www.minhdu.gov.cm/environnement-social-urbain,html_with_tables,land,Centre,2.66,"aménagement, chantier, construction, données, développement, logement, marché, population, projet, route, terre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Garoua 1er , Guider, Abong-Bang, Mboma, Mbengwi, Bamenda 3eme",Fabrication et pose des pavés,600,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,Environnement Social Urbain - MINHDU,,,,https://www.minhdu.gov.cm/environnement-social-urbain,html_with_tables,land,Centre,2.66,"aménagement, chantier, construction, données, développement, logement, marché, population, projet, route, terre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Douala 3ème et Yabassi,Fabrication et pose des pavés et des briques de terre comprimées,207,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,Environnement Social Urbain - MINHDU,,,,https://www.minhdu.gov.cm/environnement-social-urbain,html_with_tables,land,Centre,2.66,"aménagement, chantier, construction, données, développement, logement, marché, population, projet, route, terre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ngounou et Bondjock,Fabrication et pose des pavés,200,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,Environnement Social Urbain - MINHDU,,,,https://www.minhdu.gov.cm/environnement-social-urbain,html_with_tables,land,Centre,2.66,"aménagement, chantier, construction, données, développement, logement, marché, population, projet, route, terre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Banyo, Ngaoundal, Ambam, Djoum",Fabrication et pose des pavés,400,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADAMAWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAR-NORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LITTORAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTH-WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOUTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOUTH-WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REAL ESTATE AGENTS: 
                                        Total: 66 / 
                                        Valid: 24 / 
                                        Expired: 42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REAL ESTATE DEVELOPERS: 
                                        Total: 302 / 
                                        Valid: 302 / 
                                        Expired: 00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CO-OWNERSHIPS ASSOCIATIONS: 
                                        Total: 25 / 
                                        Valid: 00 / 
                                        Expired: 25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADAMAWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAR-NORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LITTORAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTH-WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOUTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOUTH-WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REAL ESTATE AGENTS: 
                                        Total: 66 / 
                                        Valid: 24 / 
                                        Expired: 42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"REAL ESTATE DEVELOPERS: 
                                        Total: 302 / 
                                        Valid: 302 / 
                                        Expired: 00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CO-OWNERSHIPS ASSOCIATIONS: 
                                        Total: 25 / 
                                        Valid: 00 / 
                                        Expired: 25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"test
test",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-,,,,,,,,,,,,,,,,,,,,,,,,"FIRST GROUP HOLDING COMPANY

Professional card:
Expired

Manager:
M. DIMA GABRIEL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-,,,,,,,,,,,,,,,,,,,,,,,,"SOCIÉTÉ DE GESTION IMMOBILIÈRE (SOGESIM)

Professional card:
Expired

Manager:
M. TCHOUGANG HENRI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-,,,,,,,,,,,,,,,,,,,,,,,,,"ANUCAM EDUCATIONAL BOOBS PLC

Activity status:
                                
In Activity

Manager:
M.FOLEFAC VINCENT ANU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-,,,,,,,,,,,,,,,,,,,,,,,,,"ATABONG ENTREPRISE GROUP LTD

Activity status:
                                
In Activity

Manager:
M.BOYO NKEM ATABONG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-,,,,,,,,,,,,,,,,,,,,,,,,,"CFB HOLDING

Activity status:
                                
In Activity

Manager:
MME BESSONG CEDELLE EBOBESSEMAKO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-,,,,,,,,,,,,,,,,,,,,,,,,,"FIRST GROUP HOLDING COMPANY

Activity status:
                                
In Activity

Manager:
M. DIMA GABRIEL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-,,,,,,,,,,,,,,,,,,,,,,,,,"LANDMARK GROUP LTD

Activity status:
                                
In Activity

Manager:
M. SIMON LEGAH NKETI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6-,,,,,,,,,,,,,,,,,,,,,,,,,"LIFECO ENTERPRISE

Activity status:
                                
In Activity

Manager:
M. LIFANDA SAMUEL EBIAMA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7-,,,,,,,,,,,,,,,,,,,,,,,,,"NEW HORIZON PRIVATE LIMITED COMPANY

Activity status:
                                
In Activity

Manager:
M.SHEWA MOISE NJIENGOM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Housing and Urban Development,RENAPS / South-west region,,,,https://www.minhdu.gov.cm/promotion-immobiliere/home/region_sud-ouest,html_with_tables,land,Est,2.59,housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-,,,,,,,,,,,,,,,,,,,,,,,,,"OMEGA REAL ESTATE

Activity status:
                                
In Activity

Manager:
MME EBANGHA ARREY PAMELA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
